Kong Yue Xinhui                                   # Kong Yue Electronics Information Industry Xinhui
VertexRSI General SatCOM                          # VertexRSI General Dynamics SatCOM Technologies
Huiyang District Meisiqi                          # Huizhou City Huiyang District Meisiqi Industry Development
Intelligent High Tech                             # Intelligent Optical Network High Tech
Sichuan Tianyi Stock                              # Sichuan Tianyi Information Science Technology Stock
Bisa hong Kong                                    # Bisa Technologies hong Kong Limited
Powerlink Standardization epsg                    # Ethernet Powerlink Standardization Group epsg
Matsunichi hong Kong                              # Matsunichi Digital Technology hong Kong Limited
TCL King Appliances                               # TCL King Electrical Appliances Huizhou
Hong Kong Wheatek                                 # Hong Kong Wheatek Technology Limited
XIN FEI JIA                                       # Shenzhen XIN FEI JIA Electronic
Jide Hong Kong                                    # Jide Technology Hong Kong Limited
Zhong Shan Litai                                  # Zhong Shan City Litai Electronic Industrial
Emerson Power Avocent                             # Emerson Network Power Avocent Division
Oregano Consulting GmbH                           # Oregano Systems Design Consulting GmbH
Emerson Climate Transportation                    # Emerson Climate Technologies Transportation Solutions
AVT Audio GmbH                                    # AVT Audio Video Technologies GmbH
Magneti Marelli Automotive                        # Magneti Marelli Automotive Electronics Guangzhou
Genius Bytes GmbH                                 # Genius Bytes Software Solutions GmbH
Sang Fei Consumer                                 # Shenzhen Sang Fei Consumer Communications
NEC Fibre Optic                                   # Wuhan NEC Fibre Optic Communications industry
Hong Kong Middleware                              # Hong Kong Middleware Technology Limited
samtec automotive GmbH                            # samtec automotive electronics software GmbH
Olympus Soft GmbH                                 # Olympus Soft Imaging Solutions GmbH
Rousing Sci Tech                                  # Nanjing Rousing Sci Tech Industrial
Eaton Center Pulizzi                              # Eaton Electrical Group Data Center Solutions Pulizzi
Shang Hai Tyd                                     # Shang Hai Tyd Electon Technology
Federal State Unitary                             # Federal State Unitary Enterprise Industrial UnionElectropribor
Performance DBA Loggers                           # Computer Performance DBA Digital Loggers
NET New GmbH                                      # NET New Electronic Technology GmbH
TTC Nextgeneration Home                           # TTC Nextgeneration Home Network System
Shan World Fair                                   # Shan World Fair Electronics Technology Limited
Guang Zhou TRISUN                                 # Guang Zhou TRISUN Electronics Technology
First Blue Chip                                   # Shenzhen First Blue Chip Technology
HyBroad Hong Kong                                 # HyBroad Vision Hong Kong Technology
Tian Cheng Technical                              # Fujian Tian Cheng Electron Science Technical Development
Association TR41 Committee                        # Telecommunications Industry Association TR41 Committee
Vtech dba Telephones                              # Vtech Innovation dba Advanced American Telephones
eflow Smart Planning                              # eflow Smart Device Planning Development Division
Ultra TCS Tactical                                # Ultra Electronics TCS Tactical Communication Systems
Telekom Sdn Bhd                                   # Telekom Research Development Sdn Bhd
Glory Star Technics                               # Glory Star Technics ShenZhen Limited
Hongkong Miracle Eagle                            # Hongkong Miracle Eagle Technologygroup Limited
ChuangDao Perpetual Eternal                       # Shenzhen ChuangDao Perpetual Eternal Technology
